wikidata_id,name,category,image_url,country,wikipedia_url,latitude,longitude,description
Q127951,Sofia Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/SA-06-NOvember-2015.jpg,Bulgaria,https://en.wikipedia.org/wiki/Sofia_Airport,42.695,23.408333333,international airport in Bulgaria
Q3364161,Popinolashki waterfall,waterfalls,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%92%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4%20%D0%BD%D0%B0%20%D1%80.%D0%A1%D0%B0%D0%BD%D0%B4%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%20%D0%B1%D0%B8%D1%81%D1%82%D1%80%D0%B8%D1%86%D0%B0%20-%20panoramio.jpg,Bulgaria,https://en.wikipedia.org/wiki/Popinolashki_waterfall,41.673333333,23.393611111,"waterfall at Pirin mountain in Svetivrachko, Pirin Macedonia"
Q3494207,Raysko Praskalo,waterfalls,http://commons.wikimedia.org/wiki/Special:FilePath/Staraplanina-krassiu.jpg,Bulgaria,https://en.wikipedia.org/wiki/Raysko_Praskalo,42.711936111,24.924438888,"waterfall in Balkan Mountains, Bulgaria"
Q20500484,Hlyabovo dolmens,landmarks,http://commons.wikimedia.org/wiki/Special:FilePath/Dolmen%20tomb%20Hlyabovo%20BG.jpg,Bulgaria,,42.05,26.25,"dolmens around Hlyabovo, Bulgaria"
Q1201664,Develtos,landmarks,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9E%D0%B1%D0%BB%D0%B0%D1%81%D1%82%20%D0%91%D1%83%D1%80%D0%B3%D0%B0%D1%81%20-%20%D0%9E%D0%B1%D1%89%D0%B8%D0%BD%D0%B0%20%D0%A1%D1%80%D0%B5%D0%B4%D0%B5%D1%86%20-%20%D1%81.%20%D0%94%D0%B5%D0%B1%D0%B5%D0%BB%D1%82%20-%20%D0%90%D0%BD%D1%82%D0%B8%D1%87%D0%BD%D0%B8%D1%8F%D1%82%20%D0%94%D0%B5%D1%83%D0%BB%D1%82%D1%83%D0%BC%20-%20%2826%29.jpg,Bulgaria,https://en.wikipedia.org/wiki/Develtos,42.4,27.266667,human settlement in Bulgaria
Q1291235,Seuthopolis,landmarks,http://commons.wikimedia.org/wiki/Special:FilePath/Artificial%20lake%20kazanlak.jpg,Bulgaria,https://en.wikipedia.org/wiki/Seuthopolis,42.618056,25.305556,archeological site in Bulgaria
Q1309702,Ratiaria,landmarks,http://commons.wikimedia.org/wiki/Special:FilePath/Ratiaria%2C%20Archar%2C%20Bulgaria%20-%2022.12.2020.jpg,Bulgaria,https://en.wikipedia.org/wiki/Ratiaria,43.81666667,22.91666667,city in Bulgaria
Q1317936,Mesembria,landmarks,http://commons.wikimedia.org/wiki/Special:FilePath/Nessebar%20Festungsmauern.jpg,Bulgaria,https://en.wikipedia.org/wiki/Mesembria,42.660417,27.7181,"an ancient Greek city on the Black Sea coast of Bulgaria, modern Nesebar"
Q358267,Eagles' Bridge,bridges,http://commons.wikimedia.org/wiki/Special:FilePath/Downtown%20Sofia%20Boby%20Dimitrov%201.jpg,Bulgaria,"https://en.wikipedia.org/wiki/Eagles%27_Bridge,_Sofia",42.690555555,23.3375,"Bridge in Sofia, Bulgaria"
Q267104,Kadin most,bridges,http://commons.wikimedia.org/wiki/Special:FilePath/Nevestino%20Kadin%20Most.JPG,Bulgaria,https://en.wikipedia.org/wiki/Kadin_most,42.25611111,22.85361111,deck arch bridge
Q613759,Plovdiv Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Plovdiv%20Stadium.JPG,Bulgaria,https://en.wikipedia.org/wiki/Stadion_Plovdiv,42.149722,24.719722,stadium
Q370968,New Bulgarian University,universities,http://commons.wikimedia.org/wiki/Special:FilePath/NBU%20-%20Opening%20academic%20year%202015-2016.png,Bulgaria,https://en.wikipedia.org/wiki/New_Bulgarian_University,42.6775,23.253055555,"private university located in Sofia, Bulgaria"
Q26180562,Forum of Philippopolis,markets,http://commons.wikimedia.org/wiki/Special:FilePath/Bulgaria-0813%20-%20Roman%20Odeon%20%287432946560%29.jpg,Bulgaria,https://en.wikipedia.org/wiki/Roman_forum_of_Philippopolis,42.142111111,24.750944444,"historic Roman plaza in the city of Plovdiv, Bulgaria"
Q598661,Bobo Dioulasso Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Bobo%20Dioulasso%20Airport.jpg,Burkina Faso,https://en.wikipedia.org/wiki/Bobo_Dioulasso_Airport,11.16,-4.330833,airport
Q510882,Phnom Kulen National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/PhnomKulen.jpg,Cambodia,https://en.wikipedia.org/wiki/Phnom_Kulen_National_Park,13.6062,104.0957,national park
Q1850,Phnom Penh,cities,http://commons.wikimedia.org/wiki/Special:FilePath/Phnom%20Penh%20aerial.jpg,Cambodia,https://en.wikipedia.org/wiki/Phnom_Penh,11.569583333,104.921027777,capital of Cambodia
Q1092616,Spean Thma,bridges,http://commons.wikimedia.org/wiki/Special:FilePath/Speanthmasmall.JPG,Cambodia,https://en.wikipedia.org/wiki/Spean_Thma,13.444722222,103.8775,bridge in Cambodia
Q163607,Angkor,history_and_mysteries,http://commons.wikimedia.org/wiki/Special:FilePath/Angkor%20Wat%20W-Seite.jpg,Cambodia,https://en.wikipedia.org/wiki/Angkor,13.433333333,103.833333333,former capital city; region of Cambodia
Q190562,Mount Cameroon,peaks,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20Char%20des%20Dieux%20-%20Fako%20Mountain%20-%20Mount%20Cameroon%20National%20Park%20-%20R%C3%A9gion%20du%20Sud-ouest.jpg,Cameroon,https://en.wikipedia.org/wiki/Mount_Cameroon,4.216666666,9.1725,active volcano in Cameroon near the Gulf of Guinea
Q332628,Lake Nyos,lakes,http://commons.wikimedia.org/wiki/Special:FilePath/Nyos%20Lake%20correct.jpg,Cameroon,https://en.wikipedia.org/wiki/Lake_Nyos,6.438055555,10.298888888,crater lake in the Northwest Region of Cameroon
Q522250,Takamanda National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/Mbe%20mountains%20community%20forest.jpg,Cameroon,https://en.wikipedia.org/wiki/Takamanda_National_Park,6.16666667,9.33333333,national park in Cameroon
Q3808,Yaoundé,cities,http://commons.wikimedia.org/wiki/Special:FilePath/Yaound%C3%A9%20view%20from%20central%20market%20%282014%29.JPG,Cameroon,https://en.wikipedia.org/wiki/Yaound%C3%A9,3.857777777,11.518055555,capital of Cameroon
Q1115550,Lake Oku,natural,http://commons.wikimedia.org/wiki/Special:FilePath/Lake%20Oku%20Cameroon.jpg,Cameroon,https://en.wikipedia.org/wiki/Lake_Oku,6.192777777,10.453888888,crater lake on the Bamenda Plateau in the Northwest Region of Cameroon.
