wikidata_id,name,category,image_url,country,wikipedia_url,latitude,longitude
Q176723,Büro Center Nibelungenplatz,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Frankfurt%20Nibelungenplatz%203.Shell-Hochhaus.20130811.jpg,Germany,https://en.wikipedia.org/wiki/City_Gate_(Frankfurt),50.128725,8.691775
Q186406,Tianjin World Financial Center,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/2010%E5%B9%B412%E6%9C%8827%E6%97%A5%E7%9A%84%E6%B4%A5%E5%A1%94.jpg,People's Republic of China,https://en.wikipedia.org/wiki/Tianjin_World_Financial_Center,39.128888888,117.196388888
Q189476,Abraj Al Bait,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/%E0%B4%85%E0%B4%AC%E0%B5%8D%E0%B4%B0%E0%B4%BE%E0%B4%9C%E0%B5%8D%20%E0%B4%85%E0%B5%BD-%E0%B4%AC%E0%B5%88%E0%B4%A4%E0%B5%8D%E0%B4%A4%E0%B5%8D%20%E0%B4%9F%E0%B4%B5%E0%B5%BC.jpg,Saudi Arabia,https://en.wikipedia.org/wiki/The_Clock_Towers,21.418888888,39.826388888
Q191161,30 St Mary Axe,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/30%20St%20Mary%20Axe%20from%20Leadenhall%20Street.jpg,United Kingdom,https://en.wikipedia.org/wiki/The_Gherkin,51.514444444,-0.080277777
Q192680,New York Times Building,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/The%20New%20York%20Times%20Building%20at%20sunset%2C%202021-09-30.jpg,United States,https://en.wikipedia.org/wiki/The_New_York_Times_Building,40.756111111,-73.99
Q194347,15 Penn Plaza,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/15%20Penn%20Plaza%20Photomontage.jpg,United States,https://en.wikipedia.org/wiki/15_Penn_Plaza,40.7497,-73.9906
Q194871,IBC Tower,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Frankfurt%20IBC.20130423.jpg,Germany,https://en.wikipedia.org/wiki/IBC_Tower,50.1144,8.6425
Q195138,City-Haus,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/City-Haus-2008.jpg,Germany,https://en.wikipedia.org/wiki/City-Haus,50.110277777,8.66
Q195155,Millennium Tower,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Europaviertel%20modell.jpg,Germany,https://en.wikipedia.org/wiki/Millennium_Tower_(Frankfurt),50.10944444,8.65555556
Q195166,Trianon,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Frankfurt%20Trianon.S%C3%BCd.20130618.jpg,Germany,https://en.wikipedia.org/wiki/Trianon_(Frankfurt_am_Main),50.1125,8.666666666
Q195212,Park Tower,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Frankfurt%20Park%20Tower.20131019.jpg,Germany,https://en.wikipedia.org/wiki/Park_Tower_(Frankfurt),50.1169,8.67056
Q197833,China Zun,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/China%20Zun%2005-11-2018.jpg,People's Republic of China,https://en.wikipedia.org/wiki/China_Zun,39.91151,116.46023
Q198046,Eurotower,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Eurotower%20mit%20Euro-Skulptur.jpg,Germany,https://en.wikipedia.org/wiki/Eurotower_(Frankfurt_am_Main),50.109722222,8.674166666
