wikidata_id,name,category,image_url,country,wikipedia_url,latitude,longitude
Q328097,Parque Palermo,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Estadio%20Parque%20Palermo.jpg,Uruguay,https://en.wikipedia.org/wiki/Parque_Palermo,-34.897864,-56.153556
Q328189,Estadio Parque Capurro,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Estadio%20Parque%20Capurro.png,Uruguay,https://en.wikipedia.org/wiki/Estadio_Parque_Capurro,-34.87338056,-56.21235833
Q328542,Estadio Arquitecto Antonio Eleuterio Ubilla,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Estadio%20Ubilla%20Cerro%20Largo%20vs%20Pe%C3%B1arol.jpg,Uruguay,https://en.wikipedia.org/wiki/Estadio_Arquitecto_Antonio_Eleuterio_Ubilla,-32.359708,-54.169328
Q330136,Melbourne Cricket Ground,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/2017%20AFL%20Grand%20Final%20panorama%20during%20national%20anthem.jpg,Australia,https://en.wikipedia.org/wiki/Melbourne_Cricket_Ground,-37.819943,144.983447
Q332219,Helsinki Olympic Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Olympiastadion%202%202020-08-12.jpg,Finland,https://en.wikipedia.org/wiki/Helsinki_Olympic_Stadium,60.18689398,24.92606242
Q333549,Lawson Tama Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Lawson%20Tama%20Stadium.jpg,Solomon Islands,https://en.wikipedia.org/wiki/Lawson_Tama_Stadium,-9.436667,159.971389
Q336088,Estádio Nacional de Brasília,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Est%C3%A1dio%20Nacional%20de%20Bras%C3%ADlia%202022.jpg,Brazil,https://en.wikipedia.org/wiki/Est%C3%A1dio_Nacional_Man%C3%A9_Garrincha,-15.7835,-47.899164
Q338211,Stade Ernest-Argelès,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Toulouse%20Olympique%20v%20London%20Broncos.jpg,France,https://en.wikipedia.org/wiki/Stade_Ernest-Argel%C3%A8s,43.6369,1.40167
Q339568,Accra Sports Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Ohene%20Djan%20Sports%20Stadium%2C%20Accra.jpg,Ghana,https://en.wikipedia.org/wiki/Accra_Sports_Stadium,5.551388888,-0.191944444
Q339742,Samut Songkhram Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Chonburi%20F.C.%20vd%20Samut.jpg,Thailand,https://en.wikipedia.org/wiki/Samut_Songkhram_Stadium,13.41425,99.999865
Q339850,Foxboro Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Foxborostade.png,United States,https://en.wikipedia.org/wiki/Foxboro_Stadium,42.0927,-71.267441666
Q351946,Adams Park,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Adams%20Park%20from%20a%20northerly%20direction.JPG,United Kingdom,https://en.wikipedia.org/wiki/Adams_Park,51.630555555,-0.800277777
Q367297,Estadio Defensores del Chaco,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Estadio%20Defensores%20del%20Chaco%20en%202019.jpg,Paraguay,https://en.wikipedia.org/wiki/Estadio_Defensores_del_Chaco,-25.29207222,-57.65738056
Q372779,Wagener Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/2021%20Entree%20Wagener%20Stadion%2C%20Amstelveen%20%281%29.jpg,Netherlands,https://en.wikipedia.org/wiki/Wagener_Stadium,52.319444444,4.854166666
Q373282,Estadio de Béisbol Monterrey,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Mexico%20monterrey%20Estadio%20de%20B%C3%A9isbol%20Monterrey%202.JPG,Mexico,https://en.wikipedia.org/wiki/Walmart_Park,25.718516666,-100.31575
Q373355,Gillette Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Gillette%20Stadium02.jpg,United States,https://en.wikipedia.org/wiki/Gillette_Stadium,42.090944444,-71.264344444
Q374883,Stade de la Meinau,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Meinau%20en%20National.jpg,France,https://en.wikipedia.org/wiki/Stade_de_la_Meinau,48.55942,7.75738
Q375365,Giants Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Giants%20Stadium%20aerial.jpg,United States,https://en.wikipedia.org/wiki/Giants_Stadium,40.813726,-74.074433
Q375863,Minyuan Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/View%20in%20Minyuan%20Stadium.jpg,People's Republic of China,https://en.wikipedia.org/wiki/Minyuan_Stadium,39.111119,117.198754
Q376674,Aspmyra Stadion,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Aspmyra%20stadion.jpg,Norway,https://en.wikipedia.org/wiki/Aspmyra_Stadion,67.2775,14.384166666
Q379306,Vivaldão,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Arena%20Amaz%C3%B4nia%20%282014%29%20-%202.jpg,Brazil,https://en.wikipedia.org/wiki/Vivald%C3%A3o,-3.083056,-60.028056
Q383557,Memorial Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/091507-USCNeb-MemorialStadium.jpg,United States,https://en.wikipedia.org/wiki/Memorial_Stadium_(Lincoln),40.821022711,-96.705499407
Q386547,Stade Chaban-Delmas,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Stade%20Chaban-Delmas%20Rugby.jpg,France,https://en.wikipedia.org/wiki/Stade_Chaban-Delmas,44.829167,-0.598056
Q387477,Gifu Nagaragawa Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Nagaragawa%20Stadium%205.JPG,Japan,https://en.wikipedia.org/wiki/Gifu_Nagaragawa_Stadium,35.441337,136.766052
Q387936,Rohonci Street Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Rohonci%20%C3%BAti%20stadion%202010.jpg,Hungary,https://en.wikipedia.org/wiki/Rohonci_%C3%BAt,47.234762,16.607117
Q389625,Pomorie Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Pomorie%20Stadium%20%281%29.jpg,Bulgaria,https://en.wikipedia.org/wiki/Stadion_Pomorie,42.565985,27.636656
Q389699,Zvolen Ice Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Zvolen%2C%20Slovakia%20-%20panoramio%20-%20Buda%20Pavel%20%282%29.jpg,Slovakia,https://en.wikipedia.org/wiki/Zvolen_Ice_Stadium,48.566111,19.120556
