wikidata_id,name,category,coordinates,image_url,country,wikipedia_url,sitelinks
Q339162,Syrian Desert,deserts,Point(38.75 33.4),http://commons.wikimedia.org/wiki/Special:FilePath/Valley%20of%20the%20Tombs%2C%20Panoramic%20view%2C%20Palmyra%2C%20Syria.jpg,Syria,https://en.wikipedia.org/wiki/Syrian_desert,70
Q229269,Rub' al Khali,deserts,Point(50.0 20.0),http://commons.wikimedia.org/wiki/Special:FilePath/Rub%20al%20Khali%20002.JPG,United Arab Emirates,https://en.wikipedia.org/wiki/Rub%27_al_Khali,69
Q189429,Sonoran Desert,deserts,Point(-112.926111111 32.26),http://commons.wikimedia.org/wiki/Special:FilePath/AguaFriaNM%20%28cropped%29.jpeg,Mexico,https://en.wikipedia.org/wiki/Sonoran_Desert,67
Q181528,Libyan Desert,deserts,Point(25.0 24.0),http://commons.wikimedia.org/wiki/Special:FilePath/Libyan%20Desert%20-%202006.jpg,Sudan,https://en.wikipedia.org/wiki/Libyan_Desert,65
Q767128,Dasht-e Lut,deserts,Point(59.241111111 30.263888888),http://commons.wikimedia.org/wiki/Special:FilePath/Sand%20castles%20-%20Dasht-e%20Lut%20desert%20-%20Kerman.JPG,Iran,https://en.wikipedia.org/wiki/Lut_Desert,63
Q2088454,Registan Desert,deserts,Point(65.407105555 30.453408333),http://commons.wikimedia.org/wiki/Special:FilePath/Caravane%20dans%20le%20d%C3%A9sert%20du%20Registan%20%28Afghanistan%29%20en%201969.jpg,Afghanistan,https://en.wikipedia.org/wiki/Registan_Desert,58
Q326896,Great Sandy Desert,deserts,Point(125.0 -20.0),http://commons.wikimedia.org/wiki/Special:FilePath/Landsat%20art%20-%20Great%20Sandy%20Desert%2C%20Australia.jpg,Australia,https://en.wikipedia.org/wiki/Great_Sandy_Desert,54
Q272514,Dasht-e Kavir,deserts,Point(54.8271 34.737555555),http://commons.wikimedia.org/wiki/Special:FilePath/Dasht-e%20Kavir%202%2C%20Iran.JPG,Iran,https://en.wikipedia.org/wiki/Great_Salt_Desert,50
Q1537020,Grand Erg Occidental,deserts,Point(0.0 30.666666666),http://commons.wikimedia.org/wiki/Special:FilePath/Grand%20erg%20occidental.jpg,Algeria,https://en.wikipedia.org/wiki/Grand_Erg_Occidental,50
Q464909,Nubian Desert,deserts,Point(33.0 20.5),http://commons.wikimedia.org/wiki/Special:FilePath/Nubian%20Desert%20%288651154432%29.jpg,Sudan,https://en.wikipedia.org/wiki/Nubian_Desert,50
Q272577,Gibson Desert,deserts,Point(127.996666666 -23.73),http://commons.wikimedia.org/wiki/Special:FilePath/Gibson%20Desert%20and%20moon%20from%20Alfred%20%26%20Marie%20Range.jpg,Australia,https://en.wikipedia.org/wiki/Gibson_Desert,48
Q749205,An Nafud,deserts,Point(41.0 28.3),http://commons.wikimedia.org/wiki/Special:FilePath/ISS-64%20Jubba%20with%20Nefud%20Desert%2C%20Saudi%20Arabia.jpg,Saudi Arabia,https://en.wikipedia.org/wiki/Nafud_desert,48
Q280158,Aralkum,deserts,Point(60.5 45.0),http://commons.wikimedia.org/wiki/Special:FilePath/Aral%20Sea.gif,Uzbekistan,https://en.wikipedia.org/wiki/Aralkum_Desert,47
Q211839,Simpson Desert,deserts,Point(137.42 -24.57),http://commons.wikimedia.org/wiki/Special:FilePath/Simpson-Desert-2007-12-16-NASA.jpg,Australia,https://en.wikipedia.org/wiki/Simpson_Desert,47
Q2046004,Judaean Desert,deserts,Point(35.3 31.7),http://commons.wikimedia.org/wiki/Special:FilePath/JudeanDesert.jpg,Palestine,https://en.wikipedia.org/wiki/Judaean_Desert,47
Q97,Atlantic Ocean,oceans,Point(-30.0 0.0),http://commons.wikimedia.org/wiki/Special:FilePath/Atlantic%20Ocean.png,Unknown,https://en.wikipedia.org/wiki/Atlantic_Ocean,266
Q98,Pacific Ocean,oceans,Point(-160.0 0.0),http://commons.wikimedia.org/wiki/Special:FilePath/Pacific%20Ocean.png,Unknown,https://en.wikipedia.org/wiki/Pacific_Ocean,261
Q545,Baltic Sea,seas,Point(20.0 58.0),http://commons.wikimedia.org/wiki/Special:FilePath/SvetlogorskRauschen%2005-2017%20img11%20beach.jpg,Latvia,https://en.wikipedia.org/wiki/Baltic_Sea,398
Q4918,Mediterranean Sea,seas,Point(17.0 38.0),http://commons.wikimedia.org/wiki/Special:FilePath/Mediterranean%20Sea%20political%20map-en.svg,Palestine,https://en.wikipedia.org/wiki/Mediterranean_Sea,271
Q1239,Indian Ocean,seas,Point(80.0 -20.0),http://commons.wikimedia.org/wiki/Special:FilePath/Indian%20Ocean-CIA%20WFB%20Map.png,Unknown,https://en.wikipedia.org/wiki/Indian_Ocean,246
Q166,Black Sea,seas,Point(34.26 43.41),http://commons.wikimedia.org/wiki/Special:FilePath/Black%20Sea%20Nasa%20May%2025%202004.jpg,Republic of Abkhazia,https://en.wikipedia.org/wiki/Black_Sea,234
Q44133,White Sea,seas,Point(39.0 65.8),http://commons.wikimedia.org/wiki/Special:FilePath/Seagull%20in%20the%20White%20sea.jpg,Russia,https://en.wikipedia.org/wiki/White_Sea,224
Q3040,Hudson Bay,seas,Point(-85.0 60.0),http://commons.wikimedia.org/wiki/Special:FilePath/Hudson%20Bay%202008-07-21%20by%20Aqua.jpg,Canada,https://en.wikipedia.org/wiki/Hudson_Bay,204
Q5484,Caspian Sea,seas,Point(50.5 42.0),http://commons.wikimedia.org/wiki/Special:FilePath/Caspian%20Sea%20from%20orbit.jpg,Turkmenistan,https://en.wikipedia.org/wiki/Caspian_Sea,204
Q1693,North Sea,seas,Point(3.6825 56.459),http://commons.wikimedia.org/wiki/Special:FilePath/North%20Sea%2002%20ubt.jpeg,Germany,https://en.wikipedia.org/wiki/North_Sea,189
Q23406,Red Sea,seas,Point(38.0 22.0),http://commons.wikimedia.org/wiki/Special:FilePath/Red%20Sea%2037.95521E%2021.41271N.jpg,Sudan,https://en.wikipedia.org/wiki/Red_Sea,189
Q1247,Caribbean Sea,seas,Point(-75.0 15.0),http://commons.wikimedia.org/wiki/Special:FilePath/50%20Shades%20Of%20Blue%20%28187611681%29.jpeg,Puerto Rico,https://en.wikipedia.org/wiki/Caribbean_Sea,180
Q184189,Labrador Sea,seas,Point(-56.612777777 60.683888888),http://commons.wikimedia.org/wiki/Special:FilePath/HamiltonInlet%202006.PNG,Kingdom of Denmark,https://en.wikipedia.org/wiki/Labrador_Sea,168
Q34675,Persian Gulf,seas,Point(52.0 26.0),http://commons.wikimedia.org/wiki/Special:FilePath/PersianGulf%20vue%20satellite%20du%20golfe%20persique.jpg,United Arab Emirates,https://en.wikipedia.org/wiki/Persian_Gulf,158
Q34575,Aegean Sea,seas,Point(25.3 38.5),http://commons.wikimedia.org/wiki/Special:FilePath/Aegeansea.jpg,Turkey,https://en.wikipedia.org/wiki/Aegean_Sea,153
Q13924,Adriatic Sea,seas,Point(15.426111 42.775833),http://commons.wikimedia.org/wiki/Special:FilePath/Adriatic%20Sea%202003.jpg,Montenegro,https://en.wikipedia.org/wiki/Adriatic_Sea,151
Q37660,South China Sea,seas,Point(113.0 12.0),http://commons.wikimedia.org/wiki/Special:FilePath/Mar%20de%20China%20Meridional%20-%20BM%20WMS%202004.jpg,Philippines,https://en.wikipedia.org/wiki/South_China_Sea,143
Q58705,Arabian Sea,seas,Point(64.0 16.0),http://commons.wikimedia.org/wiki/Special:FilePath/Arabian%20Sea%20-%20n22e70.jpg,India,https://en.wikipedia.org/wiki/Arabian_Sea,135
Q12630,Gulf of Mexico,seas,Point(-90.0 25.0),http://commons.wikimedia.org/wiki/Special:FilePath/Golf%20von%20Mexiko%20NASA%20World%20Wind%20Globe.jpg,Cuba,https://en.wikipedia.org/wiki/Gulf_of_Mexico,134
Q35000,Sea of Azov,seas,Point(37.0 46.0),http://commons.wikimedia.org/wiki/Special:FilePath/Long%20Spit%20Sea%20of%20Azov%2C%20Yeisk%20district%2C%20Krasnodar%20region.jpg,Ukraine,https://en.wikipedia.org/wiki/Sea_of_Azov,130
Q34640,English Channel,seas,Point(-2.0 50.0),http://commons.wikimedia.org/wiki/Special:FilePath/EnglishChannel.jpg,United Kingdom,https://en.wikipedia.org/wiki/English_Channel,128
Q27092,Sea of Japan,seas,Point(135.0 40.0),http://commons.wikimedia.org/wiki/Special:FilePath/Sea%20of%20Japan%20Map%20en.png,South Korea,https://en.wikipedia.org/wiki/Sea_of_Japan,127
Q4127,Lake Constance,lakes,Point(9.316666666 47.65),http://commons.wikimedia.org/wiki/Special:FilePath/Vorfr%C3%BChling%20am%20Bodensee.jpg,Germany,https://en.wikipedia.org/wiki/Lake_Constance,400
Q35342,Titicaca,lakes,Point(-69.325 -15.825),http://commons.wikimedia.org/wiki/Special:FilePath/00%201635%20Reed%20Islands%20of%20Lake%20Titicaca.jpg,Bolivia,https://en.wikipedia.org/wiki/Lake_Titicaca,396
Q5513,Lake Baikal,lakes,Point(108.00472222 53.30277778),http://commons.wikimedia.org/wiki/Special:FilePath/Olkhon%20Island%20and%20Lake%20Baikal.jpg,Russia,https://en.wikipedia.org/wiki/Lake_Baikal,360
Q1066,Lake Superior,lakes,Point(-87.760021944 47.528816111),http://commons.wikimedia.org/wiki/Special:FilePath/Lake%20Superior%2C%20ISS.jpg,United States,https://en.wikipedia.org/wiki/Lake_Superior,333
Q23883,Dead Sea,lakes,Point(35.4845 31.5207),http://commons.wikimedia.org/wiki/Special:FilePath/Dead%20Sea%20by%20David%20Shankbone.jpg,Palestine,https://en.wikipedia.org/wiki/Dead_Sea,326
Q5505,Lake Victoria,lakes,Point(33.0 -1.0),http://commons.wikimedia.org/wiki/Special:FilePath/Getting%20out%20to%20fish%20at%20dusk.jpg,Uganda,https://en.wikipedia.org/wiki/Lake_Victoria,308
Q6383,Lake Balaton,lakes,Point(17.72 46.85),http://commons.wikimedia.org/wiki/Special:FilePath/Balatonlelle%2C%20Balaton%2C%2049.jpg,Hungary,https://en.wikipedia.org/wiki/Lake_Balaton,291
